student_id,charge_id,product_id,order_no,start_date,end_date
1749,2213,17,10011925,2022-7-16,2022-8-15
1749,2214,17,10011925,2022-8-16,2022-9-15
1749,2215,17,10011925,2022-9-16,2022-10-15
1749,2216,17,10011925,2022-10-16,2022-11-15
1749,2217,17,10011925,2022-11-16,2022-12-15
1749,2218,17,10011925,2022-12-16,2023-1-15
1749,2219,17,10011925,2023-1-16,2023-2-15
1749,2220,17,10011925,2023-2-16,2023-3-15
1749,2221,17,10011925,2023-3-16,2023-4-15
1749,2222,17,10011925,2023-4-16,2023-5-15
1749,2223,17,10011925,2023-5-16,2023-6-15
1749,2224,17,10011925,2023-6-16,2023-7-15
1749,6478,16,10024884,2024-12-25,2025-1-24
1749,6479,16,10024884,2025-1-25,2025-2-24
1749,6480,16,10024884,2025-2-25,2025-3-24
1749,6481,16,10024884,2025-3-25,2025-4-24
1749,6482,16,10024884,2025-4-25,2025-5-24
1749,6483,16,10024884,2025-5-25,2025-6-24
1749,9976,16,10026335,2025-7-11,2025-8-10
1749,9988,16,10026335,2025-7-11,2025-8-10
1749,9977,16,10026335,2025-8-11,2025-9-10
1749,9989,16,10026335,2025-8-11,2025-9-10
1749,9978,16,10026335,2025-9-11,2025-10-10
1749,9990,16,10026335,2025-9-11,2025-10-10
1749,9979,16,10026335,2025-10-11,2025-11-10
1749,9991,16,10026335,2025-10-11,2025-11-10
1749,9980,16,10026335,2025-11-11,2025-12-10
1749,9992,16,10026335,2025-11-11,2025-12-10
1749,9981,16,10026335,2025-12-11,2026-1-10
1749,9993,16,10026335,2025-12-11,2026-1-10
1749,11742,16,10027623,2026-1-11,2026-2-10
1749,11743,16,10027623,2026-2-11,2026-3-10
1749,11744,16,10027623,2026-3-11,2026-4-10
1749,11745,16,10027623,2026-4-11,2026-5-10
1749,11746,16,10027623,2026-5-11,2026-6-10
1749,11747,16,10027623,2026-6-11,2026-7-10
1749,13357,16,10027713,2026-7-11,2026-8-10
1749,13358,16,10027713,2026-8-11,2026-9-10
1749,13359,16,10027713,2026-9-11,2026-10-10
1749,13360,16,10027713,2026-10-11,2026-11-10
1749,13361,16,10027713,2026-11-11,2026-12-10
1749,13362,16,10027713,2026-12-11,2027-1-10
1931,2500,19,11973,2022-10-22,2022-11-21
1931,2573,17,10014561,2022-12-15,2023-1-14
1931,2574,17,10014561,2023-1-15,2023-2-14
1931,2575,17,10014561,2023-2-15,2023-3-14
1931,2799,17,10015242,2023-3-15,2023-4-14
1931,2800,17,10015242,2023-4-15,2023-5-14
1931,2801,17,10015242,2023-5-15,2023-6-14
1931,3041,17,10016033,2023-6-15,2023-7-14
1931,3042,17,10016033,2023-7-15,2023-8-14
1931,3043,17,10016033,2023-8-15,2023-9-14
1931,3298,17,10016060,2023-9-15,2023-10-14
1931,3299,17,10016060,2023-10-15,2023-11-14
1931,3300,17,10016060,2023-11-15,2023-12-14
1931,3706,17,10016061,2023-12-15,2024-1-14
1931,3707,17,10016061,2024-1-15,2024-2-14
1931,3708,17,10016061,2024-2-15,2024-3-14
1931,3978,17,10018514,2024-3-15,2024-4-14
1931,3979,17,10018514,2024-4-15,2024-5-14
1931,3980,17,10018514,2024-5-15,2024-6-14
1931,4571,17,10018515,2024-6-15,2024-7-14
1931,4572,17,10018515,2024-7-15,2024-8-14
1931,4573,17,10018515,2024-8-15,2024-9-14
1931,5219,17,10018516,2024-9-28,2024-10-27
1931,5220,17,10018516,2024-10-28,2024-11-27
1931,5221,17,10018516,2024-11-28,2024-12-27
1931,6260,17,10018517,2024-12-28,2025-1-27
1931,6261,17,10018517,2025-1-28,2025-2-27
1931,6262,17,10018517,2025-2-28,2025-3-27
1931,8058,17,10021825,2025-3-28,2025-4-27
1931,8059,17,10021825,2025-4-28,2025-5-27
1931,8060,17,10021825,2025-5-28,2025-6-27
1931,9270,17,10021827,2025-6-28,2025-7-27
1931,9271,17,10021827,2025-7-28,2025-8-27
1931,9272,17,10021827,2025-8-28,2025-9-27
1931,10536,17,10021828,2025-9-28,2025-10-27
1931,10537,17,10021828,2025-10-28,2025-11-27
1931,10538,17,10021828,2025-11-28,2025-12-27
1931,11577,17,10021829,2025-12-28,2026-1-27
1931,11578,17,10021829,2026-1-28,2026-2-27
1931,11579,17,10021829,2026-2-28,2026-3-27
1931,12630,17,10027990,2026-3-28,2026-4-27
1931,12631,17,10027990,2026-4-28,2026-5-27
1931,12632,17,10027990,2026-5-28,2026-6-27
1931,13354,17,10027991,2026-6-28,2026-7-27
1931,13355,17,10027991,2026-7-28,2026-8-27
1931,13356,17,10027991,2026-8-28,2026-9-27
2104,3024,17,10015865,2023-5-25,2023-6-24
2104,3025,17,10015865,2023-6-25,2023-7-24
2104,3026,17,10015865,2023-7-25,2023-8-24
2104,3268,17,10016920,2023-8-25,2023-9-24
2104,3269,17,10016920,2023-9-25,2023-10-24
2104,3270,17,10016920,2023-10-25,2023-11-24
2104,3648,17,10017461,2023-11-25,2023-12-24
2104,3649,17,10017461,2023-12-25,2024-1-24
2104,3650,17,10017461,2024-1-25,2024-2-24
2104,3991,17,10018080,2024-2-25,2024-3-24
2104,3992,17,10018080,2024-3-25,2024-4-24
2104,3993,17,10018080,2024-4-25,2024-5-24
2104,4400,17,10018713,2024-5-25,2024-6-24
2104,4401,17,10018713,2024-6-25,2024-7-24
2104,4402,17,10018713,2024-7-25,2024-8-24
2104,5043,17,10018714,2024-8-25,2024-9-24
2104,5044,17,10018714,2024-9-25,2024-10-24
2104,5045,17,10018714,2024-10-25,2024-11-24
2104,5991,17,10018715,2024-11-25,2024-12-24
2104,5992,17,10018715,2024-12-25,2025-1-24
2104,5993,17,10018715,2025-1-25,2025-2-24
2104,8047,17,10023723,2025-2-25,2025-3-24
2104,8048,17,10023723,2025-3-25,2025-4-24
2104,8049,17,10023723,2025-4-25,2025-5-24
2104,9246,17,10023724,2025-5-25,2025-6-24
2104,9247,17,10023724,2025-6-25,2025-7-24
2104,9248,17,10023724,2025-7-25,2025-8-24
2104,10298,17,10023725,2025-8-25,2025-9-24
2104,10299,17,10023725,2025-9-25,2025-10-24
2104,10300,17,10023725,2025-10-25,2025-11-24
2104,11533,17,10023726,2025-11-25,2025-12-24
2104,11534,17,10023726,2025-12-25,2026-1-24
2104,11535,17,10023726,2026-1-25,2026-2-24
2104,12553,17,10029216,2026-2-25,2026-3-24
2104,12554,17,10029216,2026-3-25,2026-4-24
2104,12555,17,10029216,2026-4-25,2026-5-24
2104,13307,17,10030049,2026-5-25,2026-6-24
2104,13308,17,10030049,2026-6-25,2026-7-24
2104,13309,17,10030049,2026-7-25,2026-8-24
3818,11368,19,11273,2025-10-23,2025-11-22
3818,11586,17,10027590,2025-12-10,2026-1-9
3818,11587,17,10027590,2026-1-10,2026-2-9
3818,11588,17,10027590,2026-2-10,2026-3-9
3818,11589,17,10027590,2026-3-10,2026-4-9
3818,11590,17,10027590,2026-4-10,2026-5-9
3818,11591,17,10027590,2026-5-10,2026-6-9
3818,13342,17,10030076,2026-6-10,2026-7-9
3818,13343,17,10030076,2026-7-10,2026-8-9
3818,13344,17,10030076,2026-8-10,2026-9-9
3818,13345,17,10030076,2026-9-10,2026-10-9
3818,13346,17,10030076,2026-10-10,2026-11-9
3818,13347,17,10030076,2026-11-10,2026-12-9
